UTM_x,UTM_y,S2004,S2005,S2006,S2007,S2008,S2009,S2010,S2011,S2012
571064.2077,1677383.404,0,1,0,0,0,0,0,0,0
571065.8332,1677375.691,0,0,0,NA,NA,NA,NA,NA,NA
571051.5372,1677377.414,0,0,0,0,0,1,NA,NA,NA
571063.4758,1677383.071,0,1,0,0,0,0,NA,NA,NA
571048.8716,1677377.22,0,0,0,0,0,0,0,0,0
571046.4963,1677379.454,0,0,0,1,1,1,0,NA,NA
571048.8622,1677373.46,0,0,0,0,0,0,0,0,0
571034.3817,1677376.533,0,0,0,0,0,0,0,0,0
571026.0289,1677369.557,0,0,0,0,0,NA,NA,NA,NA
571013.7037,1677373.818,0,0,0,0,0,0,NA,NA,NA
571012.3588,1677367.834,0,0,0,0,0,0,0,0,NA
571003.8987,1677364.696,0,0,0,0,0,0,0,0,0
570983.6678,1677364.14,0,0,0,NA,NA,NA,NA,NA,NA
570972.0711,1677359.238,0,0,0,NA,NA,NA,NA,NA,NA
570972.9533,1677352.674,0,0,0,0,0,0,0,0,NA
570972.8427,1677347.016,0,0,0,NA,NA,NA,NA,NA,NA
570989.9674,1677351.847,0,0,0,0,0,0,0,0,0
570988.7919,1677358.851,0,0,0,0,0,0,0,0,NA
570990.4986,1677353.132,0,0,0,NA,NA,NA,NA,NA,NA
570996.32,1677352.62,0,0,0,0,0,0,NA,NA,NA
570995.2047,1677359.338,0,0,0,0,0,0,NA,NA,NA
571003.2878,1677353.803,0,0,0,0,0,0,0,0,0
571004.4961,1677359.959,0,0,0,NA,NA,NA,NA,NA,NA
571014.2653,1677358.789,0,0,0,0,0,0,NA,NA,NA
571021.7404,1677361.845,0,0,0,0,0,NA,NA,NA,NA
571030.1146,1677361.11,0,0,0,NA,NA,NA,NA,NA,NA
571034.9548,1677360.023,0,0,0,0,NA,NA,NA,NA,NA
571050.273,1677361.06,0,0,0,0,0,NA,NA,NA,NA
571051.7653,1677363.015,0,0,0,0,0,0,1,0,0
571056.2566,1677364.534,0,0,0,NA,NA,NA,NA,NA,NA
571059.4103,1677369.07,0,0,0,0,0,0,0,0,NA
571066.1403,1677368.528,0,0,0,0,0,0,0,0,0
571067.1693,1677367.926,0,0,0,0,0,0,NA,NA,NA
570595.3579,1677301.437,0,0,0,0,0,0,NA,NA,NA
570596.5868,1677305.669,0,0,0,NA,NA,NA,NA,NA,NA
570603.6527,1677299.776,0,0,0,0,0,NA,NA,NA,NA
570607.8668,1677304.082,0,0,0,0,0,0,0,0,0
570607.1438,1677307.278,0,0,0,0,0,0,0,NA,NA
570610.0727,1677308.113,0,0,0,0,0,0,0,0,0
570613.2526,1677300.533,0,0,0,NA,NA,NA,NA,NA,NA
570619.2536,1677305.285,0,0,0,0,0,0,0,0,0
570624.5925,1677309.115,0,0,0,NA,NA,NA,NA,NA,NA
570626.9778,1677303.191,0,0,0,NA,NA,NA,NA,NA,NA
570633.9763,1677306.209,0,0,0,0,0,0,0,NA,NA
570635.5802,1677305.68,0,0,0,0,0,0,0,NA,NA
570643.7067,1677305.827,0,0,0,NA,NA,NA,NA,NA,NA
570641.5135,1677306.016,0,0,0,NA,NA,NA,NA,NA,NA
570641.4956,1677305.631,0,0,0,1,0,0,0,0,0
570646.4725,1677304.634,0,0,0,NA,NA,NA,NA,NA,NA
570647.6887,1677304.647,0,0,0,1,NA,NA,NA,NA,NA
570646.0591,1677310.542,0,0,0,NA,NA,NA,NA,NA,NA
570648.0387,1677304.774,0,0,0,1,0,0,NA,NA,NA
570653.08,1677310.591,0,0,0,NA,NA,NA,0,NA,NA
570655.9015,1677309.115,0,0,0,NA,NA,NA,NA,NA,NA
570660.9897,1677307.554,0,0,0,0,0,0,0,NA,NA
570657.0249,1677309.599,0,0,0,0,0,0,0,0,0
570666.8104,1677309.413,0,0,0,0,0,0,0,0,0
570663.5634,1677312.097,0,0,0,0,0,0,0,0,0
570670.77,1677311.203,0,0,0,0,0,1,1,1,0
570675.947,1677312.046,0,0,0,0,0,1,1,1,1
570677.8843,1677310.301,0,0,0,0,NA,NA,NA,NA,NA
570676.0538,1677314.837,0,0,0,NA,NA,NA,NA,NA,NA
570680.0691,1677308.651,0,0,0,NA,NA,NA,NA,NA,NA
570677.2355,1677313.12,0,0,0,0,0,0,0,NA,NA
570676.8664,1677313.566,0,0,0,NA,NA,NA,NA,NA,NA
570680.5253,1677308.323,0,0,0,NA,NA,NA,NA,NA,NA
570680.2405,1677309.389,0,0,0,NA,NA,NA,NA,NA,NA
570679.9805,1677314.918,0,0,0,0,0,1,1,1,1
570680.197,1677314.246,0,0,0,NA,NA,NA,NA,NA,NA
570681.2567,1677311.587,0,0,0,0,0,1,1,1,1
570681.2342,1677312.292,0,0,0,0,0,1,1,NA,NA
570681.297,1677312.505,0,0,0,NA,NA,NA,NA,NA,NA
570680.8805,1677312.03,0,0,0,0,0,1,1,NA,NA
570687.6908,1677312.466,0,0,0,0,0,0,NA,NA,NA
570690.4688,1677313.136,0,0,0,0,0,0,0,1,1
570687.8699,1677317.765,1,1,1,1,1,1,1,0,1
570690.5385,1677316.188,0,0,0,0,0,0,0,1,1
570687.34,1677319.095,1,0,0,0,0,1,0,1,1
570694.6003,1677318.087,0,0,0,NA,NA,NA,NA,NA,NA
570698.1108,1677311.078,0,0,0,NA,NA,NA,NA,NA,NA
570706.3601,1677315.302,0,0,0,0,0,0,0,0,0
570705.9976,1677321.422,0,0,0,NA,NA,NA,NA,NA,NA
570715.5086,1677314.916,0,0,0,0,0,0,0,0,1
570711.7297,1677321.17,0,0,0,NA,NA,NA,NA,NA,NA
570715.5975,1677323.037,0,0,0,NA,NA,NA,0,0,0
570726.1014,1677317.71,0,0,0,0,0,0,0,0,0
570729.3991,1677319.988,0,0,0,NA,NA,NA,NA,NA,NA
570737.2125,1677318.667,0,0,0,0,0,0,0,0,0
570743.9375,1677319.596,0,0,0,0,0,0,0,0,0
570737.2783,1677325.771,0,0,0,0,0,0,0,0,0
570742.3083,1677324.388,0,0,0,0,0,0,0,0,0
570756.9314,1677321.781,0,0,0,NA,NA,NA,NA,NA,NA
570762.0381,1677326.288,0,0,0,0,0,0,0,0,0
570755.7249,1677328.164,0,0,0,0,0,0,0,0,0
570773.1143,1677325.719,0,0,0,NA,NA,NA,NA,NA,NA
570773.1346,1677319.845,0,0,0,0,0,0,0,0,0
570762.5363,1677317.657,0,0,0,0,0,0,0,1,1
570768.7518,1677314.042,0,0,0,NA,NA,NA,1,NA,NA
570758.9888,1677317.973,0,0,0,0,0,0,0,1,1
570765.347,1677314.685,0,0,0,0,0,0,0,0,0
570759.3465,1677314.182,1,1,0,0,0,0,1,1,1
570761.7352,1677311.342,1,1,0,0,0,0,1,1,1
570753.7873,1677318.618,0,0,0,0,0,0,0,0,0
570752.0793,1677312.352,0,0,0,NA,NA,NA,NA,NA,NA
570738.1241,1677316.287,0,0,0,0,0,0,0,0,0
570744.9882,1677308.93,0,0,0,NA,NA,NA,NA,NA,NA
570732.4916,1677309.058,0,0,0,NA,NA,NA,NA,NA,NA
570742.5066,1677307.702,0,0,0,NA,NA,NA,NA,NA,NA
570728.3179,1677312.409,0,0,0,NA,NA,NA,NA,NA,NA
570733.0037,1677306.104,0,0,0,0,0,0,0,0,0
570723.0365,1677312.939,0,0,0,0,0,0,0,0,0
570730.0837,1677306.829,0,0,0,0,0,0,0,0,0
570724.8931,1677306.26,0,0,0,NA,NA,NA,NA,NA,NA
570715.6437,1677310.683,0,0,0,0,0,0,NA,NA,NA
570715.705,1677307.45,0,0,0,NA,NA,NA,NA,NA,NA
570710.2003,1677305.815,0,0,0,0,0,0,0,0,0
570700.4482,1677308.532,0,0,0,0,0,0,0,NA,NA
570705.6482,1677304.442,0,0,0,0,0,0,0,0,0
570695.7138,1677307.635,0,0,0,NA,NA,NA,NA,NA,NA
570707.1881,1677304.194,0,0,0,0,0,0,0,NA,NA
570697.6565,1677302.186,0,0,0,0,0,0,0,0,0
570693.4363,1677303.502,0,0,0,NA,NA,NA,NA,NA,NA
570689.0324,1677301.85,0,0,0,NA,NA,NA,0,1,0
570683.4819,1677299.903,0,0,0,0,0,0,0,0,0
570678.5735,1677304.897,0,0,0,NA,NA,NA,NA,NA,NA
570678.04,1677304.274,0,0,0,0,0,0,0,0,1
570677.6728,1677303.283,0,0,0,NA,NA,NA,NA,NA,NA
570674.4271,1677305.008,0,0,0,0,1,NA,NA,NA,NA
570672.7502,1677304.955,0,0,0,NA,NA,NA,0,0,0
570674.488,1677300.89,0,0,0,0,0,NA,NA,NA,NA
570668.6647,1677300.948,0,0,0,0,0,0,0,NA,NA
570673.108,1677299.33,0,0,0,0,0,0,0,0,0
570674.9333,1677298.629,0,0,0,0,0,0,0,0,0
570664.002,1677301.301,0,0,0,0,NA,NA,NA,NA,NA
570657.4973,1677301.011,0,0,0,0,0,NA,NA,NA,NA
570675.046,1677297.105,0,0,0,0,0,0,NA,NA,NA
570670.8816,1677296.831,0,0,0,0,0,0,0,0,0
570654.6592,1677301.143,0,0,0,0,0,0,0,0,0
570646.0408,1677296.83,0,0,0,0,0,0,0,0,0
570640.492,1677298.35,0,0,0,0,0,0,NA,NA,NA
570641.7863,1677295.109,0,0,0,0,1,0,1,1,1
570636.5113,1677298.572,0,0,0,0,0,0,0,1,1
570640.8208,1677300.489,0,0,0,0,0,0,0,0,0
570637.162,1677294.315,0,0,0,0,0,0,1,1,1
570628.1494,1677295.336,0,0,0,0,0,0,0,0,0
570634.1403,1677293.951,0,0,0,NA,NA,NA,NA,NA,NA
570623.3971,1677293.764,0,0,0,0,0,0,0,NA,NA
570622.2825,1677300.376,0,0,0,NA,NA,NA,NA,NA,NA
570619.6941,1677293.051,0,0,0,0,0,0,0,0,NA
570613.4043,1677297.383,0,0,0,0,0,NA,NA,NA,NA
570617.5719,1677295.26,0,0,0,0,0,0,0,0,0
570615.1945,1677295.432,0,0,0,0,0,0,0,0,0
570615.2527,1677293.232,0,0,0,0,0,0,0,NA,NA
570614.2751,1677293.912,0,0,0,0,0,0,0,0,0
570607.7513,1677294.196,0,0,0,0,0,0,0,NA,NA
570601.887,1677297.318,0,0,0,0,0,0,0,0,0
570598.3907,1677293.652,0,0,0,0,0,0,0,0,0
570596.8801,1677293.23,0,0,0,0,0,0,0,0,0
570592.9108,1677298.631,0,0,0,0,0,0,0,NA,NA
570594.5379,1677294.652,0,0,0,NA,NA,NA,NA,NA,NA
570590.5571,1677294.874,0,0,0,0,0,0,0,0,0
